rank,item_name
13,【高級 ギフト 365日出荷！】【高級お茶漬けセット】金目鯛、鰻、鮭、蛤、炙り河豚、磯海苔 送料無料 誕生日プレゼント あす楽 お中元 2021 父の日 贈り物 プチギフト うなぎ 鯛茶漬け 出産内祝い お返し 結婚 父 母 男性 女性 彼氏 彼女 ありがとう お祝い 魚 早割
14,令和2年産 北海道産 ゆめぴりか 10kg (5kg×2袋セット)＜白米＞ 【送料無料】【北海道米 送料込み 米 お米 真空パック選択可】
15,【ふるさと納税】【2021年発送】訳あり品！沖縄県北中城村　完熟マンゴー約1.5Kg
16,P5倍確定★1尾あたり1990円！お中元 土用の丑の日にも！特大うなぎ2尾！完売前に3980円送料無料！特大にほんうなぎ蒲焼き200g×2尾！2個で500円OFFクーポン有！[台湾産 2-4人前]父の日ギフト 御中元 ギフト お取り寄せグルメ ウナギ 鰻 食べ物 プレゼント
17,"おためし 盛岡冷麺5食セット 1,000円ぽっきり 送料無料 メール便 他商品と同梱不可 日時指定不可 代引き不可"
18,パイナップル 台湾産 金鑽パイン 約5kg 3玉〜5玉 完熟パイナップル 台湾パイン 糖度約18度 次回6月末頃入荷、7月初旬出荷予定分
19,"＼3,000円OFFクーポン有 在庫無くなり次第終了／特大 サイズ 1尾175g以上 うなぎ 蒲焼き 1kg(5尾〜6尾） タレ・山椒15袋付き【愛知県三河一色産】【送料無料】【お取り寄せ 国産 国内産 うなぎの兼光】"
20,【期間限定ポイント5倍！】【 ANA's Sky Kitchen 】おうちで旅気分！！ANA国際線エコノミークラス機内食　メインディッシュ　肉の感謝祭　12個入り　【送料無料】
21,20%OFF 在庫限り 遅れてごめんね 父の日 ギフト おつまみセット 【 おつまみ ベスト9ナイン 】 父 父親 父の日 送料無料 男性 プレゼント 食べ物 食品 父の日プレゼント 2021 グルメ 詰め合わせ お酒 お礼 つまみ 酒の肴 酒 海鮮 珍味 晩酌 お父さん 干物 セット
22,フランス産 冷凍パン アウトレットセール［クロワッサン70個・パンオショコラ80個・ショッソムポム100個］選り取り［賞味期限：2021年7月］【4〜5営業日以内に出荷】【送料無料】［冷凍］［同梱不可］
23,ねこぶだし(グルメ大賞受賞 だし部門)《北海道日高昆布の栄養豊富な根昆布を使用！》500ml×6本 だし/日高昆布/出汁/ねこんぶだし
24,＼お買い物パンダ豆皿当たる／【2年産】ちょっぴりセレブなコシヒカリ 玄米30kg精米27kg　コシヒカリ【米30kg 送料無料】【お米 30kg 送料無料】米/お米/コメ【こしひかり】【国産】【米 30kg 送料無料】
25,＼今シーズンラスト！只今、お届け中／ さくらんぼ 佐藤錦or紅秀峰 山形県産 1kg バラ詰め家庭用 数量限定 産地直送 訳あり サイズ混合 送料無料 ※遠方へは別途送料がかかります ふっこう復袋
26,"【期間限定！3,980円→1,990円】 ベーグル 手作り 国産 こんにゃくベーグル 送料無料 12個セット 蒟蒻40%以上配合！ 低カロリー お菓子 パン スイーツ カロリーオフ ダイエット食品 ダイエット 満腹感 間食 置き換え お取り寄せ"
27,限界お試し価格挑戦　送料無料 宮城県産 殻付き 活牡蠣 3kg ※大小混合で約15〜50個 【加熱用】 カキ 牡蛎 お歳暮　ギフト 年末グルメ お歳暮ギフト
28,【送料無料】《贅沢セット》華山特製焼豚300g×1本＆芳醇黒酢煮豚300g×1本
29,無洗米 10kg 送料無料 山形 令和2年産 新米 はえぬき 無洗米/白米/玄米 10キロ おこめ コメ (沖縄は別途送料追加)
30,ハンバーグ ぜいたくセット[ ハンバーグ 4個 メンチ 4個 コロッケ 4個] ソース 付 | 送料無料 | 国産 和牛 牛肉 父の日ギフト 出産 内祝い お年賀 クリスマス お年賀 御中元 ギフト 父の日ギフト 出産内祝い 食べ物 冷凍 グルメ 肉 お肉 肉の日 食品
